"X1","SampleSite","OTU","baseMean","l2FC","SE","pvalue","Kingdom","Phylum","Class","Order","Family","Genus","Species","padj"
"1","Point","JF199054.1.1286",7.09131934425493,-0.390380849449813,0.344629669605691,0.257317314497556,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,0.477955629926481
"1","Point","HM127696.1.1446",1.07516214669262,0.918027449866291,0.768025026353577,0.231966210998707,"Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","Candidatus Xiphinematobacter",NA,0.44719337070696
"1","Point","HQ784539.1.1460",0.538663122769137,-0.822581409011388,1.32770889966792,0.535554411159251,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,0.725672955700998
"1","Point","HQ827874.1.1452",0.857986013107713,1.05542785552388,0.999024929258344,0.290759030222044,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,0.51386942701435
"1","Point","KF827167.1.1400",5.26452950462295,4.7911721217664,0.686516114027366,2.9736195410599e-12,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Chitinophaga",NA,1.14593143289625e-10
"1","Point","FQ659254.1.1377",1.07571402228422,0.138859564852778,0.846365512347012,0.869679409720445,"Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus",NA,0.933064826182642
"1","Point","KC293851.1.1331",0.510781216931428,-0.564872338089814,1.33524630295387,0.672260754067034,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA,0.823894571792944
"1","Point","HM269816.1.1350",24.4840777403784,0.0451302952020565,0.285664089000958,0.874469572681782,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0.936085314930363
"1","Point","JN679161.1.1499",7.87304937316951,-0.0203023951421056,0.317811100049451,0.949064218871388,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,0.977523771718901
"1","Point","JF697526.1.1486",2.56051011982728,-0.654686886283527,0.572843421149753,0.253091609050392,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0.47267700035416
"1","Point","DQ628951.1.1396",0.656026182521218,-0.482274402722951,1.10101851442385,0.661367655274845,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,0.816349575840547
"1","Point","FQ659802.1.1352",1.44399935789817,0.107368704208767,0.660554120180671,0.870877964378578,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0.933783383367139
"1","Point","LK393046.1.1405",0.508092990106157,2.18802212750904,1.1654605500416,0.060464878991288,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Paludibacter",NA,0.180936569708778
"1","Point","CU919140.1.1304",0.988219840814707,1.00886688786807,0.738701173011308,0.172023497174689,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA,0.37130754854646
"1","Point","JF096918.1.1347",1.70042015450859,-1.0079333144769,0.97135031132967,0.299427438417171,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA,0.522016298066022
"1","Point","DQ256326.1.1488",31.3540005126056,-0.0128654238483518,0.252275743499064,0.959327539140559,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0.98278441925837
"1","Point","FQ658531.1.1344",0.915619622231607,-1.13192003427446,1.18939377128525,0.341260246575258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,0.566281382706979
"1","Point","AJ421916.1.1408",0.975267527793827,-2.40453477380299,0.842958559815133,0.00433775439316799,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0.0237424432143375
"1","Point","AB511008.1.1436",14.6830501169658,-0.190472309142683,0.42326184349383,0.652702809356018,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",NA,0.811385081654216
"1","Point","AY212620.1.1506",1.17839303714065,3.98522041334573,0.962607160261793,3.47263720196614e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,0.000388214630597159
"1","Point","JN032387.1.1352",0.577266966920996,1.45807640449428,1.26349001971386,0.248497273998344,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae",NA,NA,0.467286538840347
"1","Point","KC358571.1.1261",0.999862441976945,-0.767674431443782,0.784705153519532,0.327927620934819,"Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA,NA,0.553750239840058
"1","Point","EF667913.1.1461",0.77794313123978,2.87203541171949,1.07405738556715,0.00749512107398537,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Emticicia",NA,0.0371231702097081
"1","Point","HQ592602.1.1460",1.07053545304829,0.144814281535919,0.787784103977779,0.854150874003128,"Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Gemmataceae",NA,NA,0.925834699925641
"1","Point","KC189632.1.1501",90.3520781659145,0.885425818810123,0.362315894914284,0.0145336770576815,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,0.0617290584707979
"1","Point","KC442481.1.1421",16.7859564124876,-0.616266140132106,0.454151871917932,0.174793769397052,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","C111",NA,NA,0.374558077279398
"1","Point","FJ424569.1.1324",7.55672209474374,-1.06285100554786,1.04842964511144,0.310699576754817,"Bacteria","Cyanobacteria","Nostocophycideae","Nostocales","Nostocaceae","Dolichospermum",NA,0.535922850734291
"1","Point","HQ609674.1.1486",2.25453440640029,-1.08370784889125,0.647608345152412,0.0942485644613383,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,0.248094188132029
"1","Point","FJ437989.1.1502",0.638804715587232,0.924662280202735,0.997595714592998,0.353983239461174,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter",NA,0.577981589750591
