"KC886811.1.1420",Flavobacterium,5.14
"FJ612183.1.1494",Polynucleobacter,1.0
"FJ382737.1.1359",,NA
"HQ789136.1.1428",Haemophilus,5.92
"JQ191085.1.1325",,NA
"FJ623313.1.1454",Thiothrix,NA
"AM419442.1.1418",Desulfomicrobium,2.0
"EU774946.1.1391",Pseudomonas,5.01
"AF368182.1.1369",Rhodobacter,3.8
"E32645.1.1435",,NA
"EF520415.1.1385",,NA
"LK392963.1.1383",Flavobacterium,5.14
"JX133462.1.1496",,NA
"FQ658558.1.1355",,NA
"KC358054.1.1268",,NA
"AY426469.1.1399",Candidatus Cloacamonas,NA
"FN421900.1.1393",Rudanella,NA
"FJ382078.1.1219",Rhodobacter,3.8
"HQ597587.1.1508",,NA
"KC574880.1.1496",Hydrogenophaga,NA
"HE650039.1.1310",,NA
"KM410814.1.1370",,NA
"KC189785.1.1503",Methylotenera,2.5
"JF703583.1.1461",,NA
"FQ660328.1.1381",Geobacter,2.67
"HQ597980.1.1477",,NA
"FJ546408.1.1208",,NA
"EU703207.1.1342",Rhodobacter,3.8
"AY571794.1.1350",,NA
"GU291353.1.1403",,NA
"BX294907.1.1278",Planctomyces,NA
"JQ978600.1.1520",,NA
"JF171786.1.1343",,NA
"FJ535026.1.1462",Planctomyces,NA
"JN656792.1.1496",Crenothrix,NA
"AYOE01013165.43024.44276",,NA
"AF204242.1.1460",Sulfuritalea,NA
"JF204007.1.1357",,NA
"JF915318.1.1378",Flavobacterium,5.14
"FJ484762.1.1404",,NA
"JF922579.1.1497",,NA
"GU272258.1.1480",,NA
"JN398085.1.1431",,NA
"CU466770.3.1373",,NA
"JN867666.1.1339",Gemmata,NA
"HQ738360.1.1355",,NA
"KC189726.1.1502",,NA
"KM410655.1.1340",,NA
"JX521644.1.1466",,NA
"GQ500862.1.1471",,NA
"HM007530.1.1497",,NA
"LK392730.1.1443",Arcobacter,4.8
"FM204988.1.1449",,NA
"DQ640654.1.1441",,NA
"JX105570.1.1383",Flavobacterium,5.14
"JN626691.1.1344",Flavobacterium,5.14
"HQ697715.1.1558",,NA
"KP204502.1.1317",,NA
"HM156146.1.1338",,NA
"HQ111163.1.1491",,NA
"AJ390448.1.1248",,NA
"JN039017.1.1489",,NA
"EU703352.1.1394",,NA
"EU753673.1.1495",,NA
"KC358588.1.1263",,NA
"GU455166.1.1470",,NA
"KM260250.1.1339",Sphingomonas,2.33
"AB630790.1.1461",,NA
"BX294681.1.1278",Planctomyces,NA
"EU184866.1.1479",Agrobacterium,NA
"KF836156.1.1523",,NA
"HQ178752.1.1484",,NA
"KC551747.1.1489",Paludibacter,3.0
"HQ790381.1.1417",,NA
"FJ535003.1.1512",,NA
"HQ114139.1.1445",,NA
"JF830227.1.1494",,NA
"JX223771.1.1491",,NA
"KJ782945.1.1465",,NA
"CP002629.3127195.3128743",Desulfobacca,1.0
"GU208362.1.1432",,NA
"JN671987.1.1278",,NA
"EU431790.1.1493",,NA
"JF915322.1.1376",Flavobacterium,5.14
"KC253284.1.1489",Fluviicola,2.0
"HQ691997.1.1360",,NA
"DQ640691.1.1366",,NA
"JF681659.1.1230",Agrobacterium,NA
"KF827250.1.1400",,NA
"JQ923538.1.1490",,NA
"DQ664245.1.1469",Uliginosibacterium,NA
"FN667273.1.1418",Meiothermus,2.0
"GBEF01033142.387.1854",,NA
"HQ114077.1.1458",,NA
"KJ194956.1.1218",,NA
"JF235773.1.1306",Kaistobacter,NA
"KF475873.1.1505",Pseudomonas,5.01
"HQ597264.1.1507",,NA
"EU283504.1.1355",,NA
"DQ376574.1.1538",,NA
"HF677140.1.1376",,NA
"DQ884343.1.1418",,NA
"KC914431.1.1518",,NA
"FQ659726.1.1349",,NA
"JN679089.1.1505",Dechloromonas,NA
"HQ597941.1.1508",,NA
"DQ453824.1.1531",Pseudomonas,5.01
"HM141890.1.1500",,NA
"JX576042.1.1336",Treponema,2.25
"KJ127985.1.1457",,NA
"HM186401.1.1386",,NA
"JF190737.1.1342",Rudanella,NA
"EU803236.1.1448",,NA
"HM268707.1.1354",,NA
"KF827406.1.1400",,NA
"DQ413068.1.1449",,NA
"JN397767.1.1436",Flavobacterium,5.14
"KF697488.1.1227",,NA
"LN570746.1.1364",,NA
"JQ771468.1.1473",,NA
"JX127186.1.1469",Leptolyngbya,NA
"HQ692017.1.1390",,NA
"KC920982.1.1397",Sphingopyxis,1.0
"HQ640511.1.1375",,NA
"EF018753.1.1401",Methylibium,1.0
"GQ288818.1.1384",Delftia,5.0
"JX521065.1.1494",,NA
"HE589851.1.1480",,NA
"JN397726.1.1455",,NA
"HM992538.1.1342",,NA
"FQ660394.1.1343",Gemmatimonas,1.0
"KM105784.1.1447",,NA
"JQ795771.1.1456",Deefgea,NA
"KC357956.1.1261",,NA
"HM263171.1.1311",,NA
"DQ676414.1.1369",Rhodobacter,3.8
"EF125460.1.1450",,NA
"FQ660158.1.1291",,NA
"AY424897.1.1423",,NA
"JF808838.1.1509",Prosthecobacter,NA
"JQ769883.1.1446",,NA
"EU340225.1.1404",,NA
"GU207878.1.1524",Nannocystis,NA
"FJ799016.1.1500",,NA
"AB754057.1.1447",,NA
"CU925937.1.1328",,NA
"KF070922.1.1309",Rhodoplanes,NA
"FR798929.1.1462",,NA
"HM921130.1.1322",,NA
"AF234754.1.1517",,NA
"HM779377.1.1459",,NA
"AB255052.1.1441",,NA
"FM872852.1.1485",Methylibium,1.0
"HQ218545.1.1429",Rhodobacter,3.8
"AJ863189.1.1467",,NA
"HQ111170.1.1485",Fluviicola,2.0
